epoch,val_loss,val_accuracy,val_f1_m,val_precision_m,val_recall_m
0,0.2125889772628721,0.6919431,0.8200887,0.6974545,1.0
1,0.21286217451660555,0.6919431,0.8200887,0.6974545,1.0
2,0.21335414963028443,0.6919431,0.8200887,0.6974545,1.0
3,0.21454661463109237,0.6919431,0.8200887,0.6974545,1.0
4,0.21500203437149806,0.6919431,0.8200887,0.6974545,1.0
5,0.21590342206695068,0.6919431,0.8200887,0.6974545,1.0
6,0.21639990630025546,0.6919431,0.8200887,0.6974545,1.0
7,0.2174687414513945,0.6919431,0.8200887,0.6974545,1.0
8,0.21816330618485455,0.68720376,0.80637276,0.6936667,0.9692858
9,0.2193837068374688,0.66824645,0.79569876,0.6896441,0.9480357
10,0.219610165998834,0.66824645,0.79569876,0.6896441,0.9480357
11,0.22044897058281288,0.66824645,0.79569876,0.6896441,0.9480357
12,0.221056153282735,0.66824645,0.79569876,0.6896441,0.9480357
13,0.22291561897614556,0.66824645,0.79569876,0.6896441,0.9480357
14,0.22349117272555546,0.66824645,0.79569876,0.6896441,0.9480357
15,0.22370272825397022,0.66824645,0.79569876,0.6896441,0.9480357
16,0.22305180323067433,0.6635071,0.79261225,0.68809307,0.9415841
17,0.22453251007891378,0.66824645,0.79569876,0.6896441,0.9480357
18,0.22344513922506035,0.6635071,0.79261225,0.68809307,0.9415841
19,0.22342667965244908,0.66824645,0.79569876,0.6896441,0.9480357
20,0.2238278376971376,0.6635071,0.79261225,0.68809307,0.9415841
21,0.22409598727079363,0.6635071,0.79261225,0.68809307,0.9415841
22,0.2239279040793107,0.6635071,0.79261225,0.68809307,0.9415841
23,0.22493277144093085,0.66824645,0.79569876,0.6896441,0.9480357
24,0.22473944702419624,0.6635071,0.79261225,0.68809307,0.9415841
25,0.22488709465022336,0.6635071,0.79261225,0.68809307,0.9415841
26,0.224580816183045,0.6635071,0.79261225,0.68809307,0.9415841
27,0.22481165473212564,0.6635071,0.79261225,0.68809307,0.9415841
28,0.22545250367496816,0.6635071,0.79261225,0.68809307,0.9415841
29,0.2255920971880592,0.66824645,0.7932617,0.6917311,0.9351325
30,0.22640172212044773,0.6635071,0.79261225,0.68809307,0.9415841
31,0.2252106686338994,0.6635071,0.79261225,0.68809307,0.9415841
32,0.22580518682986075,0.6635071,0.79261225,0.68809307,0.9415841
33,0.2251199012119058,0.6635071,0.79261225,0.68809307,0.9415841
34,0.22521830629115985,0.6635071,0.79261225,0.68809307,0.9415841
35,0.22630419691592032,0.6635071,0.79261225,0.68809307,0.9415841
